ad_id,brand,model,year,mileage,price,discount_pct,url,label
1131313528,kia,cerato,2018,140000,1050000,33.4,https://auto.ru/cars/used/sale/kia/cerato/1131313528-76641f13/,good
1132386957,hyundai,palisade,2026,30,5600000,30.8,https://auto.ru/cars/used/sale/hyundai/palisade/1132386957-509fbaaa/,good
1132976753,vaz,granta,2023,43090,550000,30.6,https://auto.ru/cars/used/sale/vaz/granta/1132976753-884c14bf/,
1131029570,vaz,granta,2017,87214,350000,30.5,https://auto.ru/cars/used/sale/vaz/granta/1131029570-84ab6dce/,good
1120735228,volkswagen,tiguan,2013,111537,1070000,33.2,https://auto.ru/cars/used/sale/volkswagen/tiguan/1120735228-b685fe63/,
1132345650,kia,rio,2017,122020,775000,29.2,https://auto.ru/cars/used/sale/kia/rio/1132345650-01c778cf/,good
1133070954,kia,rio,2019,53000,900000,28.9,https://auto.ru/cars/used/sale/kia/rio/1133070954-7df8658e/,good
1133069122,toyota,land cruiser prado,2019,154715,3148000,29.2,https://auto.ru/cars/used/sale/toyota/land_cruiser_prado/1133069122-eddc2d2f/,trash
1132974693,vaz,2170,2014,124000,340000,34.6,https://auto.ru/cars/used/sale/vaz/2170/1132974693-6419d25d/,
1129471721,volkswagen,polo,2019,100000,750000,34.5,https://auto.ru/cars/used/sale/volkswagen/polo/1129471721-2e3099b0/,good
1120893323,hyundai,solaris,2016,94636,845000,28.0,https://auto.ru/cars/used/sale/hyundai/solaris/1120893323-b4f59566/,norm
1132982272,vaz,kalina,2011,111111,199000,31.4,https://auto.ru/cars/used/sale/vaz/kalina/1132982272-77691510/,
1132967748,kia,seltos,2021,65300,1722600,27.9,https://auto.ru/cars/used/sale/kia/seltos/1132967748-67645f2b/,
1132231856,kia,picanto,2014,72000,500000,27.7,https://auto.ru/cars/used/sale/kia/picanto/1132231856-ce702c16/,
1131348396,renault,logan,2013,126500,440000,33.0,https://auto.ru/cars/used/sale/renault/logan/1131348396-006b3204/,
1132153356,vaz,granta,2016,70694,367000,27.3,https://auto.ru/cars/used/sale/vaz/granta/1132153356-7597fe6c/,
1132976789,vaz,granta,2013,145000,250000,27.3,https://auto.ru/cars/used/sale/vaz/granta/1132976789-72c8ac7f/,
1132967880,volkswagen,touareg,2013,135000,1412352,33.0,https://auto.ru/cars/used/sale/volkswagen/touareg/1132967880-afbc0165/,
1132980475,vaz,2114,2013,147000,170000,31.0,https://auto.ru/cars/used/sale/vaz/2114/1132980475-de07ab1e/,
1123971543,hyundai,creta,2019,83135,1280000,27.0,https://auto.ru/cars/used/sale/hyundai/creta/1123971543-9c62df8f/,
